iter	Logloss
224	0.1756050741
225	0.1754979699
226	0.1754919688
227	0.1754013898
228	0.175061755
229	0.1750478512
230	0.1750042892
231	0.175000854
232	0.1749253527
233	0.1745505159
234	0.1745062878
235	0.1744282687
236	0.1744191929
237	0.1743625887
238	0.1743625887
239	0.1742956499
240	0.1742100677
241	0.1740735901
242	0.1740719508
243	0.1740651457
244	0.1739990727
245	0.1735239902
246	0.173506742
247	0.1734327247
248	0.1734231348
249	0.173355017
250	0.1732673512
251	0.1732604369
252	0.1731631878
253	0.1729050214
254	0.1726930125
255	0.1725996992
256	0.1725787095
257	0.1724765673
258	0.1723527523
259	0.1722677926
260	0.1722626483
261	0.1722228141
262	0.1721864579
263	0.1721650407
264	0.1720267571
265	0.1720195283
266	0.1720008146
267	0.1719572424
268	0.1718667984
269	0.1717673244
270	0.1717619203
271	0.1716524809
272	0.1715946262
273	0.1715374779
274	0.1713988973
275	0.1712234251
276	0.1709507055
277	0.1709021349
278	0.1708094555
279	0.1703881461
280	0.1702914054
281	0.170241962
282	0.1699721097
283	0.1699200417
284	0.1698945404
285	0.169883544
286	0.1697656642
287	0.1695787379
288	0.1694324893
289	0.1694291361
290	0.1692653503
291	0.1691521549
292	0.1691334652
293	0.1688349082
294	0.168772192
295	0.1687408175
296	0.1687358414
297	0.1686535803
298	0.1683401963
299	0.1683161041
300	0.1680650205
301	0.1679812175
302	0.1679810077
303	0.167931218
304	0.167798738
305	0.1675750428
306	0.1674658343
307	0.1673856588
308	0.1673012662
309	0.1672933838
310	0.1670888493
311	0.1668321382
312	0.1665273706
313	0.1665219334
314	0.1664545999
315	0.1664373878
316	0.166403203
317	0.1662330095
318	0.1660496293
319	0.1660288133
320	0.1659211242
321	0.1658823009
322	0.1657798641
323	0.1657296947
324	0.1657012778
325	0.165675182
326	0.1656172909
327	0.165486185
328	0.1654258767
329	0.1651007339
330	0.1650915953
331	0.1650802307
332	0.1648311383
333	0.1647988589
334	0.1647252079
335	0.1646722945
336	0.1646217536
337	0.1644919767
338	0.1640831983
339	0.1639614877
340	0.1638502494
341	0.1638102983
342	0.1637128356
343	0.1636148713
344	0.1636076642
345	0.1635378409
346	0.1634570786
347	0.1634449166
348	0.1633723079
349	0.1632777703
